date/time,type,order id,sku,description,quantity,order city,order state,order postal,total
"Nov 1, 2020 1:37:39 AM PDT",Order,113-9910017-4813845,N1N-MAGNESIUM-CITRATE-FBA,"N1N Premium Magnesium Citrate Capsules 1250mg 120 Veg Caps [100% Pure] Powerful dose for Sleep, Muscle Cramps, Bone Health, Energy Production and Nerv",2,EWING,NJ,08628-2811,14.44
"Nov 1, 2020 1:37:43 AM PDT",Order,114-3689482-8700218,N1N-MULBERRY-FBA,"N1N White Mulberry Leaf Extract, [100% Pure, 6M's Supply], Premium Blood Sugar Control. Weight Loss, Appetite, Sugar & Carb Cravings Support, High Pot",1,PFLUGERVILLE,TEXAS,78660-7451,11
"Nov 1, 2020 1:41:55 AM PDT",Order,114-0892443-9900258,N1N-BERBERINE-FBA,"N1N Premium Berberine Plus 120 Caps, 1200mg [Non-GMO, US Made] Natural Supplement Supports Anti-Aging, Cellular Health, Energy, Blood Sugar, Digestion",1,SAN ANTONIO,TX,78253-5508,16.09
"Nov 1, 2020 1:42:01 AM PDT",Order,113-5457054-2264222,N1N-ELDRBERRY-FBA,"Premium Immune Support Booster, Powerful [10-in-1] Elderberry, Zinc, Vitamin C, E, B6, Echinacea, Garlic, Probiotic & Turmeric Blend. High Potency, 60",1,HOLLISTER,MO,65672-5080,8.84
"Nov 1, 2020 1:49:29 AM PDT",Order,111-0605925-8605863,N1N-KETO-BURN-FBA,"N1N Premium Keto Burn Pills [Max Strength, 1200mg] Natural Ketogenic Fat Burner to Boost Weight Loss, Energy & Metabolism. Exogenous Keto BHB Suppleme",1,SAN RAFAEL,CALIFORNIA,94901-2309,12.87
"Nov 1, 2020 1:51:55 AM PDT",Order,111-1355770-4839436,N1N-KIDNEY-SUPPORT-FBA,"N1N Premium Kidney Cleanse [21 Potent Herbs] for Urinary Tract & Bladder Control, Natural Kidney Support with Cranberry Extract, Astragalus and Uva Ur",1,PHOENIX,AZ,85027-3611,12.87
"Nov 1, 2020 1:52:23 AM PDT",Order,111-2806946-1666608,N1N-FMALE-ENHANCEMNT-DSCRT-FBA,"N1N Premium Female Enhancement Pills - [14 Potent Herbs], Natural Mood & Energy Booster for Women, Balance Hormones, Horny Goat Weed, Ginseng, Maca Ro",1,HUNTSVILLE,AL,35805-4614,13.72
"Nov 1, 2020 1:55:01 AM PDT",Order,112-1208281-5514653,N1N-MAGNESIUM-FBA,"N1N Premium [3X Absorption, Vegan] Magnesium Complex, Powerful Supplement for Sleep, Leg Cramps, Muscle Recovery & Relaxation, Formulated for Women &",1,Hamilton,NJ,08610-2514,12.7
"Nov 1, 2020 1:55:18 AM PDT",Order,114-0618067-6777834,N1N-COLON-CLEANSE-FBA,"N1N Premium Colon Cleanse & Detox for Weight Loss [15-Day Quick Cleanse] All Natural Colon Detox with Probiotic for Constipation Relief, Gut Health an",1,NEW YORK,NY,10016-8341,6.92
"Nov 1, 2020 1:55:50 AM PDT",Order,111-6058186-2025047,N1N-CEYLON-CINNAMON-FBA,"N1N Premium Ceylon Cinnamon 1200mg [100% Organic Ceylon Cinnamon] All Natural Supplement for Healthy Blood Sugar Levels, Blood Circulation, Brain and",1,Seagoville,TX,75159,12.87
"Nov 1, 2020 1:07:09 AM PST",Order,111-7753951-8478665,N1N-MEN-MULTIVITS-FBA,"N1N Daily Multivitamin for Men, Premium Multimineral Supplement - Vitamins A C E D B1 B2 B3 B5 B6 B12. Magnesium, Zinc, Biotin, Spirulina, Antioxidant",1,SELAH,WA,98942-9402,9.47
"Nov 1, 2020 1:12:16 AM PST",Order,114-4609745-1891451,N1N-MAGNESIUM-CITRATE-FBA,"N1N Premium Magnesium Citrate Capsules 1250mg 120 Veg Caps [100% Pure] Powerful dose for Sleep, Muscle Cramps, Bone Health, Energy Production and Nerv",1,New Castle,CO,81647,7.22
"Nov 1, 2020 1:16:18 AM PST",Order,111-2227756-3473048,N1N-5HTP-FBA,"N1N Premium 5-HTP Plus Calcium [Max Purity & Strength] Enhanced with Serotonin Synthesizers for Deeper Sleep, Positive Mood & Brain Functions, 120 Veg",1,OZARK,AL,36360-0873,7.22
"Nov 1, 2020 1:19:36 AM PST",Order,111-4748231-9884213,AZM-NIGHTSPLNT-FBA,"AZMED 2020 Plantar Fasciitis Night Splint [Lightweight & Breathable], Adjustable Foot Drop Brace, Heel, Ankle & Achilles Tendonitis Relief, Arch Pain",1,MOUNTAIN GREEN,UTAH,84050-9768,10.86
"Nov 1, 2020 1:25:36 AM PST",Order,112-6528909-2999415,N1N-MAGNESIUM-CITRATE-FBA,"N1N Premium Magnesium Citrate Capsules 1250mg 120 Veg Caps [100% Pure] Powerful dose for Sleep, Muscle Cramps, Bone Health, Energy Production and Nerv",1,Sandy,UT,84070-0455,7.22
"Nov 1, 2020 1:26:13 AM PST",Order,111-6135147-2682617,N1N-WOMENS-FAT-BURNER-FBA,"N1N Premium Fat Burner for Women [7 Potent Ingredients] All Natural Thermogenic Weight Loss Pills, Suppresses Appetite, Boosts Metabolism and Energy,",1,AUBURN,AL,36830-0144,12.87
"Nov 1, 2020 1:29:59 AM PST",Order,111-5767634-4341806,N1N-PSYLLIUM-FBA,"Premium Psyllium Husk Capsules [All Natural & Potent] - Powerful Soluble Fiber Supplement Helps Support Regularity & Digestion, Reduce Constipation, L",1,MELBOURNE,FL,32935-5576,12.7
"Nov 1, 2020 1:31:56 AM PST",Order,111-6193361-5337845,N1N-MEN-MULTIVITS-FBA,"N1N Daily Multivitamin for Men, Premium Multimineral Supplement - Vitamins A C E D B1 B2 B3 B5 B6 B12. Magnesium, Zinc, Biotin, Spirulina, Antioxidant",1,CARROLLTON,TX,75010-6450,8.84
"Nov 1, 2020 1:34:23 AM PST",Order,111-6166704-5939464,AZS-MALE-ENHNCEMENT-FBA,"AZS Premium Male Enhancing Pills [10X Strength] - Increase Drive, Stamina & Endurance - Fast Acting & Natural Horny Goat Weed Supplement with 100mg Ic",1,WILLIAMSVILLE,NY,14221-3848,12.87
"Nov 1, 2020 1:36:05 AM PST",FBA Inventory Fee,pAO6PNv6Ec,,FBA Removal Order: Disposal Fee,,,,,-0.75
"Nov 1, 2020 1:41:59 AM PST",Order,113-4371767-2225834,AZMSC-STRNG-ACTN-GAUGE-FBA,"AZMUSIC Premium String Action Gauge, Compact and Versatile Luthier Tool for Quick and Easy Guitar Set Up and Maintenance",1,WIMBERLEY,TX,78676-2723,5.61
"Nov 1, 2020 1:42:19 AM PST",Order,111-7266749-3310649,N1N-ELDRBERRY-FBA,"Premium Immune Support Booster, Powerful [10-in-1] Elderberry, Zinc, Vitamin C, E, B6, Echinacea, Garlic, Probiotic & Turmeric Blend. High Potency, 60",1,BROOKLYN,NY,11236-1427,9.47
"Nov 1, 2020 1:44:26 AM PST",Order,112-7868943-0961836,AZS-MALE-ENHNCEMENT-FBA,"AZS Premium Male Enhancing Pills [10X Strength] - Increase Drive, Stamina & Endurance - Fast Acting & Natural Horny Goat Weed Supplement with 100mg Ic",1,BURBANK,CA,91504-2128,13.72
"Nov 1, 2020 2:13:22 AM PST",Order,112-5452158-4397845,N1N-MAGNESIUM-FBA,"N1N Premium [3X Absorption, Vegan] Magnesium Complex, Powerful Supplement for Sleep, Leg Cramps, Muscle Recovery & Relaxation, Formulated for Women &",1,OROVILLE,CA,95966-9420,13.55
"Nov 1, 2020 2:19:40 AM PST",Order,111-1572098-3690619,N1N-ELDRBERRY-FBA,"Premium Immune Support Booster, Powerful [10-in-1] Elderberry, Zinc, Vitamin C, E, B6, Echinacea, Garlic, Probiotic & Turmeric Blend. High Potency, 60",1,CHESAPEAKE,VA,23321-3434,8.84
"Nov 1, 2020 2:20:04 AM PST",Order,112-1661928-7393865,N1N-ELDRBERRY-FBA,"Premium Immune Support Booster, Powerful [10-in-1] Elderberry, Zinc, Vitamin C, E, B6, Echinacea, Garlic, Probiotic & Turmeric Blend. High Potency, 60",1,FAIRFIELD,CT,6825,8.84
"Nov 1, 2020 2:26:20 AM PST",Order,114-5944844-2884246,N1N-COLON-CLEANSE-FBA,"N1N Premium Colon Cleanse & Detox for Weight Loss [15-Day Quick Cleanse] All Natural Colon Detox with Probiotic for Constipation Relief, Gut Health an",1,LAUREL,DE,19956-1156,6.41
"Nov 1, 2020 2:27:29 AM PST",Order,114-3320920-3471455,AZM-MAT-BELT-FBA,"AZMED Maternity Belt, Breathable Pregnancy Back Support, Premium Belly Band, More Than 1.3M Happy Mothers, Lightweight Abdominal Binder, One-Size, Bei",1,Washington,D.C.,20009,12.88
"Nov 1, 2020 2:37:20 AM PST",Order,113-1537492-0466615,AZS-MALE-DISCREET-FBA,"AZS Premium Male Enhancing Pills - Enlargement Booster for Men [10X Strength] - Increase Drive, Stamina & Endurance - Fast Acting & Natural Horny Goat",1,Doral,Florida,33191-1622,5.92
"Nov 1, 2020 2:39:08 AM PST",Order,113-8651540-8336256,N1N-ELDRBERRY-FBA,"Premium Immune Support Booster, Powerful [10-in-1] Elderberry, Zinc, Vitamin C, E, B6, Echinacea, Garlic, Probiotic & Turmeric Blend. High Potency, 60",1,OKLAHOMA CITY,OK,73135-3208,8.84
"Nov 1, 2020 3:01:10 AM PST",Order,113-8621372-7751433,N1N-MAGNESIUM-FBA,"N1N Premium [3X Absorption, Vegan] Magnesium Complex, Powerful Supplement for Sleep, Leg Cramps, Muscle Recovery & Relaxation, Formulated for Women &",1,DENVER,CO,80238-4100,12.7
"Nov 1, 2020 3:07:29 AM PST",Order,113-6367541-9078651,N1N-BLOOD-PRESSURE-FBA,"N1N Premium Blood Pressure Support with Hawthorn and Hibiscus [13 Potent Ingredients], Natural Hypertension Supplement to Improve Cardiovascular & Cir",1,MULBERRY,FL,33860-7505,13.66
"Nov 1, 2020 3:19:24 AM PST",Adjustment,113-1930632-9040222,N1N-ELDRBERRY-FBA,FBA Inventory Reimbursement - Customer Return,1,,,,9.47
"Nov 1, 2020 3:19:44 AM PST",Adjustment,113-0351929-4745836,AZM-NIGHTSPLNT-FBA,FBA Inventory Reimbursement - Customer Return,1,,,,11.17
"Nov 1, 2020 3:33:36 AM PST",Order,114-6111967-3730655,N1N-MENOPAUSE-RELIEF-FBA,N1N Premium Menopause Support for Women [12 Potent Ingredients] All Natural Menopause Relief & Hormone Balance for Women with Dong Quai & Black Cohosh,1,MARIETTA,GA,30064-2950,12.87
"Nov 1, 2020 3:35:11 AM PST",Order,112-8808202-6884214,N1N-MENOPAUSE-RELIEF-FBA,N1N Premium Menopause Support for Women [12 Potent Ingredients] All Natural Menopause Relief & Hormone Balance for Women with Dong Quai & Black Cohosh,1,OAK HILLS,CA,92344-4812,12.87
"Nov 1, 2020 3:39:02 AM PST",Order,113-1915113-3426613,N1N-ELDRBERRY-FBA,"Premium Immune Support Booster, Powerful [10-in-1] Elderberry, Zinc, Vitamin C, E, B6, Echinacea, Garlic, Probiotic & Turmeric Blend. High Potency, 60",1,PROVO,UT,84601-4566,8.84
"Nov 1, 2020 3:52:49 AM PST",Order,114-9036375-1818669,N1N-BERBERINE-FBA,"N1N Premium Berberine Plus 120 Caps, 1200mg [Non-GMO, US Made] Natural Supplement Supports Anti-Aging, Cellular Health, Energy, Blood Sugar, Digestion",2,SOUTH LYON,MI,48178-1239,34.22
"Nov 1, 2020 3:52:55 AM PST",Order,111-4990027-6877057,N1N-BLOOD-PRESSURE-FBA,"N1N Premium Blood Pressure Support with Hawthorn and Hibiscus [13 Potent Ingredients], Natural Hypertension Supplement to Improve Cardiovascular & Cir",1,HONDO,TX,78861-2803,13.66
"Nov 1, 2020 3:53:05 AM PST",Order,111-5110151-1926626,N1N-TART-CHERRY-FBA,"N1N Premium Tart Cherry Extract Capsules, 200 Veg Caps, 3000 mg [10X Concentrated Extract] Powerful Antioxidant, Joint Health and Mobility, Uric Acid",1,COSTA MESA,CA,92626-2631,12.87
"Nov 1, 2020 3:53:25 AM PST",Order,111-7737538-9570647,N1N-LIVER-FBA,"N1N Premium Liver Cleanse, Detox & Repair Supplement [22 Natural Herbs] All Natural Supplement with Milk Thistle, Beet Root, Artichoke. Max Strength t",1,ROOSEVELT,UTAH,84066-2825,5.43
"Nov 1, 2020 3:53:25 AM PST",Order,111-7737538-9570647,N1N-LIVER-FBA,"N1N Premium Liver Cleanse, Detox & Repair Supplement [22 Natural Herbs] All Natural Supplement with Milk Thistle, Beet Root, Artichoke. Max Strength t",1,ROOSEVELT,UTAH,84066-2825,10.11
"Nov 1, 2020 3:55:52 AM PST",Order,112-2935269-0631434,BULL-MODE-FBA,"Bull Mode Premium Male Enhancing Pills [9 Potent Ingredients] - Helps Increase Muscle Size, Strength, Stamina, Energy and Endurance. All Natural Male",1,LAS VEGAS,NV,89118-0640,8.84
"Nov 1, 2020 4:20:22 AM PST",,0a30531e-8dd7-428e-86e7-be86b402615a,,Early Reviewer Program fee for asin B086X6WV8B,,,,,-60
"Nov 1, 2020 4:22:31 AM PST",Order,114-5399108-3508266,N1N-MAGNESIUM-FBA,"N1N Premium [3X Absorption, Vegan] Magnesium Complex, Powerful Supplement for Sleep, Leg Cramps, Muscle Recovery & Relaxation, Formulated for Women &",1,marysville,WA,98270-4640,12.7
"Nov 1, 2020 4:27:32 AM PST",Order,112-5913491-4386651,N1N-MAGNESIUM-CITRATE-FBA,"N1N Premium Magnesium Citrate Capsules 1250mg 120 Veg Caps [100% Pure] Powerful dose for Sleep, Muscle Cramps, Bone Health, Energy Production and Nerv",1,SEATTLE,WA,98144-5073,7.22
"Nov 1, 2020 4:31:32 AM PST",Order,112-7249556-9401037,N1N-BEET-ROOT-FBA,"N1N Premium Organic Beet Root Capsules 1300mg, 120 Veg Caps [Non-GMO & Gluten Free] All Natural Beet Root Powder - Helps Lower Blood Pressure, Boosts",1,AUBURN,WA,98092-6242,7.22
"Nov 1, 2020 5:03:03 AM PST",Order,112-3548370-3787449,N1N-SUPERFOOD-FBA,"N1N Premium Organic Super Green, Fruits & Veggies [28 Powerful Ingredients] All Natural Superfood Supplement with Alfalfa, Beet Root & Tart Cherry to",1,FERNDALE,MI,48220-2628,13.72
"Nov 1, 2020 5:08:12 AM PST",Order,112-4905900-6107422,N1N-BEET-ROOT-FBA,"N1N Premium Organic Beet Root Capsules 1300mg, 120 Veg Caps [Non-GMO & Gluten Free] All Natural Beet Root Powder - Helps Lower Blood Pressure, Boosts",1,Wendell,NC,27591,7.22
"Nov 1, 2020 5:11:29 AM PST",Order,113-3525042-6837037,N1N-MAGNESIUM-FBA,"N1N Premium [3X Absorption, Vegan] Magnesium Complex, Powerful Supplement for Sleep, Leg Cramps, Muscle Recovery & Relaxation, Formulated for Women &",1,CHICAGO,IL,60626-2597,12.7
"Nov 1, 2020 5:27:09 AM PST",Order,113-0608144-1242663,N1N-MAGNESIUM-FBA,"N1N Premium [3X Absorption, Vegan] Magnesium Complex, Powerful Supplement for Sleep, Leg Cramps, Muscle Recovery & Relaxation, Formulated for Women &",1,HAIKU,HI,96708-5107,12.7
"Nov 1, 2020 5:41:40 AM PST",Order,113-2324131-5659448,N1N-MULBERRY-FBA,"N1N White Mulberry Leaf Extract, [100% Pure, 6M's Supply], Premium Blood Sugar Control. Weight Loss, Appetite, Sugar & Carb Cravings Support, High Pot",1,KENT,WA,98032-5112,11
"Nov 1, 2020 5:53:21 AM PST",Adjustment,114-9825419-5990655,N1N-BLOOD-PRESSURE-FBA,FBA Inventory Reimbursement - Customer Return,1,,,,14.51
"Nov 1, 2020 5:55:42 AM PST",FBA Customer Return Fee,113-8523497-1797039,,FBA Customer Return Per Order Fee,,,,,0
"Nov 1, 2020 5:55:42 AM PST",FBA Customer Return Fee,113-8523497-1797039,,FBA Customer Return Per Unit Fee,,,,,-3.7
"Nov 1, 2020 5:55:42 AM PST",FBA Customer Return Fee,113-8523497-1797039,,FBA Customer Return Weight Based Fee,,,,,0
"Nov 1, 2020 6:01:57 AM PST",Order,112-6395392-2268228,N1N-MULBERRY-FBA,"N1N White Mulberry Leaf Extract, [100% Pure, 6M's Supply], Premium Blood Sugar Control. Weight Loss, Appetite, Sugar & Carb Cravings Support, High Pot",1,WASHINGTON,DC,20011-4012,10.28
"Nov 1, 2020 6:15:39 AM PST",Order,113-6718323-0084216,N1N-MAGNESIUM-FBA,"N1N Premium [3X Absorption, Vegan] Magnesium Complex, Powerful Supplement for Sleep, Leg Cramps, Muscle Recovery & Relaxation, Formulated for Women &",1,Houston,Texas,77015,12.7
"Nov 1, 2020 6:23:29 AM PST",FBA Customer Return Fee,111-0802146-4447467,,FBA Customer Return Per Order Fee,,,,,0
"Nov 1, 2020 6:23:29 AM PST",FBA Customer Return Fee,111-0802146-4447467,,FBA Customer Return Per Unit Fee,,,,,-3.7
"Nov 1, 2020 6:23:29 AM PST",FBA Customer Return Fee,111-0802146-4447467,,FBA Customer Return Weight Based Fee,,,,,0
"Nov 1, 2020 6:30:50 AM PST",Order,114-9646898-4755435,N1N-MULBERRY-FBA,"N1N White Mulberry Leaf Extract, [100% Pure, 6M's Supply], Premium Blood Sugar Control. Weight Loss, Appetite, Sugar & Carb Cravings Support, High Pot",1,NOTTINGHAM,MD,21236-2622,10.28
"Nov 1, 2020 6:34:31 AM PST",Order,112-1695005-1761008,N1N-MULBERRY-FBA,"N1N White Mulberry Leaf Extract, [100% Pure, 6M's Supply], Premium Blood Sugar Control. Weight Loss, Appetite, Sugar & Carb Cravings Support, High Pot",1,BALTIMORE,MD,21215-3813,10.28
"Nov 1, 2020 6:39:24 AM PST",Order,114-7832759-7635445,N1N-ELDRBERRY-FBA,"Premium Immune Support Booster, Powerful [10-in-1] Elderberry, Zinc, Vitamin C, E, B6, Echinacea, Garlic, Probiotic & Turmeric Blend. High Potency, 60",1,ELIZABETH,NJ,07206-1733,9.47
"Nov 1, 2020 6:42:13 AM PST",Order,113-8281206-9523462,N1N-FMALE-ENHANCEMNT-FBA,"N1N Female Enhancement Pills - [14 Potent Herbs], Natural Mood & Energy Booster for Women, Balance Hormones, Horny Goat Weed, Ginseng, Maca Root, Dong",1,LAKELAND,FL,33805-2104,13.61
"Nov 1, 2020 6:49:33 AM PST",Order,111-3034087-0445812,N1N-BEET-ROOT-FBA,"N1N Premium Organic Beet Root Capsules 1300mg, 120 Veg Caps [Non-GMO & Gluten Free] All Natural Beet Root Powder - Helps Lower Blood Pressure, Boosts",1,MESA,AZ,85206-2005,7.22
"Nov 1, 2020 6:50:56 AM PST",Order,112-0593477-9904201,N1N-ELDRBERRY-FBA,"Premium Immune Support Booster, Powerful [10-in-1] Elderberry, Zinc, Vitamin C, E, B6, Echinacea, Garlic, Probiotic & Turmeric Blend. High Potency, 60",1,READING,MI,49274-0514,8.84
"Nov 1, 2020 6:56:15 AM PST",Order,113-9745090-2272239,N1N-KETO-BURN-FBA,"N1N Premium Keto Burn Pills [Max Strength, 1200mg] Natural Ketogenic Fat Burner to Boost Weight Loss, Energy & Metabolism. Exogenous Keto BHB Suppleme",1,SUMTER,SC,29150-9788,12.87
"Nov 1, 2020 6:56:22 AM PST",Order,113-0991727-8809068,N1N-FMALE-ENHANCEMNT-FBA,"N1N Female Enhancement Pills - [14 Potent Herbs], Natural Mood & Energy Booster for Women, Balance Hormones, Horny Goat Weed, Ginseng, Maca Root, Dong",1,DURHAM,NC,27712-1821,12.76
"Nov 1, 2020 7:24:18 AM PST",Order,111-3912906-3919464,N1N-FMALE-ENHANCEMNT-FBA,"N1N Female Enhancement Pills - [14 Potent Herbs], Natural Mood & Energy Booster for Women, Balance Hormones, Horny Goat Weed, Ginseng, Maca Root, Dong",1,Garfield,NJ,07026-1130,12.76
"Nov 1, 2020 7:26:00 AM PST",Order,111-0609687-0312203,AZM-POSTPRTM-BELT-XL-FBA,"AZMED 3 in 1 Postpartum Belly Wrap Girdles for Women, One-Size, Beige",1,LUCASVILLE,OH,45648-8799,6.44
"Nov 1, 2020 7:31:38 AM PST",Order,112-0440465-5505846,AZM-MAT-BELT-FBA,"AZMED Maternity Belt, Breathable Pregnancy Back Support, Premium Belly Band, More Than 1.3M Happy Mothers, Lightweight Abdominal Binder, One-Size, Bei",1,VENICE,FL,34293-5833,12.05
"Nov 1, 2020 7:36:38 AM PST",Order,113-0695128-9094650,N1N-BLOOD-PRESSURE-FBA,"N1N Premium Blood Pressure Support with Hawthorn and Hibiscus [13 Potent Ingredients], Natural Hypertension Supplement to Improve Cardiovascular & Cir",1,GREENSBORO,NC,27410-9265,13.66
"Nov 1, 2020 7:38:01 AM PST",Order,114-0177621-5540238,N1N-FMALE-ENHANCEMNT-FBA,"N1N Female Enhancement Pills - [14 Potent Herbs], Natural Mood & Energy Booster for Women, Balance Hormones, Horny Goat Weed, Ginseng, Maca Root, Dong",1,ATLANTA,GA,30310-3637,12.76
"Nov 1, 2020 7:46:15 AM PST",Order,114-7121457-2805030,N1N-BLOOD-PRESSURE-FBA,"N1N Premium Blood Pressure Support with Hawthorn and Hibiscus [13 Potent Ingredients], Natural Hypertension Supplement to Improve Cardiovascular & Cir",1,RIPON,WI,54971-8000,13.66
"Nov 1, 2020 7:46:33 AM PST",Order,114-9229255-0671403,N1N-KIDNEY-SUPPORT-FBA,"N1N Premium Kidney Cleanse [21 Potent Herbs] for Urinary Tract & Bladder Control, Natural Kidney Support with Cranberry Extract, Astragalus and Uva Ur",1,SACRAMENTO,CA,95833-9622,13.72
"Nov 1, 2020 7:50:39 AM PST",Order,114-8329049-0720249,N1N-MAG-GLYCINATE-FBA,"N1N Premium Magnesium Glycinate 400mg [Superior Absorption], All Natural Supplement to Support Heart, Bone, Muscle and Nerve Function, Non-GMO, Gluten",1,Vienna,WV,26105,5.46
"Nov 1, 2020 7:56:26 AM PST",Order,113-8231521-9318636,AZS-MALE-ENHNCEMENT-FBA,"AZS Premium Male Enhancing Pills [10X Strength] - Increase Drive, Stamina & Endurance - Fast Acting & Natural Horny Goat Weed Supplement with 100mg Ic",1,ROCHESTER,NY,14611-1139,12.87
